time	V(vout)*Ix(M2:D)+V(p_gate)*Ix(M2:G)+V(N001)*Ix(M2:S)
5.612921870447275e-004	1.497962e+000
5.619537650026769e-004	1.394523e+000
5.622143306275382e-004	1.362640e+000
5.623789014909293e-004	1.345471e+000
5.624734992676441e-004	1.336335e+000
5.626126784761286e-004	1.323649e+000
5.626298137312076e-004	1.322228e+000
5.626469489862867e-004	1.320818e+000
5.626640842413657e-004	1.319417e+000
5.626812194964448e-004	1.318026e+000
5.626983547515238e-004	1.316646e+000
5.627154900066029e-004	1.315275e+000
5.627326252616819e-004	1.313914e+000
5.627511146353224e-004	1.312169e+000
5.628120422899715e-004	1.305899e+000
5.628405377752254e-004	1.303370e+000
5.628823398278426e-004	1.300278e+000
5.629460383423600e-004	1.296612e+000
5.630453830855036e-004	1.292343e+000
5.632059486836872e-004	1.286986e+000
5.634407751621864e-004	1.280256e+000
5.638038160261349e-004	1.270514e+000
5.640590749982286e-004	1.263864e+000
5.641899815546909e-004	1.260354e+000
5.642535792865245e-004	1.257447e+000
5.642725978945632e-004	1.255225e+000
5.642911781491179e-004	1.251994e+000
5.642991575855027e-004	1.250649e+000
5.643069351374689e-004	1.249406e+000
5.643119280331161e-004	1.248648e+000
5.643205985336330e-004	1.247409e+000
5.643294126080320e-004	1.246250e+000
5.643347061418001e-004	1.245594e+000
5.643414530036152e-004	1.244807e+000
5.643499942549851e-004	1.243874e+000
5.643625105901664e-004	1.242641e+000
5.643777326859532e-004	1.241339e+000
5.644011189901543e-004	1.239658e+000
5.644259393297468e-004	1.238232e+000
5.644590970705629e-004	1.236795e+000
5.644958110620178e-004	1.235680e+000
5.645545221813071e-004	1.234525e+000
5.646107889685026e-004	1.233897e+000
5.647233225428938e-004	1.233336e+000
5.648382410325778e-004	1.233115e+000
5.650680780119457e-004	1.233025e+000
5.653933400916372e-004	1.233003e+000
5.660438642510204e-004	1.233003e+000
5.673449125697866e-004	1.233008e+000
5.699470092073191e-004	1.232998e+000
5.751512024823839e-004	1.232992e+000
5.855595890325138e-004	1.232987e+000
